,movie_title,people,article_title,critic_pick,web_url,pub_date,reporter_first_name,reporter_last_name,last_updated
0,,"['Dario Argento', 'Simone Scafidi']","‘Dario Argento Panico’ Review: When He Says ‘Cut,’ the Scene Begins",,https://www.nytimes.com/2024/02/01/movies/dario-argento-panico-review.html,2024-02-01T12:00:03+0000,Jeannette,Catsoulis,2024-02-04 09:49:07.744290
1,Fitting In,['Molly McGlynn'],"‘Fitting In’ Review: Her Body, Herself",,https://www.nytimes.com/2024/02/01/movies/fitting-in-review.html,2024-02-01T12:00:02+0000,Natalia,Winkelman,2024-02-04 09:49:07.744290
2,She Is Conann,"['Bertrand Mandico', 'Sandra Parfait']",‘She Is Conann’ Review: Queen of the Barbarians,,https://www.nytimes.com/2024/02/01/movies/she-is-conann-review.html,2024-02-01T12:00:18+0000,Beatrice,Loayza,2024-02-04 09:49:07.744290
3,Bushman,['David Schickele'],‘Bushman’ Review: Outsider Art,Critic’s Pick,https://www.nytimes.com/2024/02/01/movies/bushman-review-outsider-art.html,2024-02-01T12:00:02+0000,Ben,Kenigsberg,2024-02-04 09:49:07.744290
4,Disco Boy,"['Franz Rogowski', 'Giacomo Abbruzzese']",‘Disco Boy’ Review: Pawns in a Bigger Game Struggle for a New Start,Critic’s Pick,https://www.nytimes.com/2024/02/01/movies/disco-boy-review-pawns-struggle.html,2024-02-01T12:00:11+0000,Brandon,Yu,2024-02-04 09:49:07.744290
5,The Promised Land,"['Mads Mikkelsen', 'Nikolaj Arcel', 'Anders Thomas Jensen']",‘The Promised Land’ Review: Coaxing Crops From a Wild Land,,https://www.nytimes.com/2024/02/01/movies/the-promised-land-review-mads-mikkelsen.html,2024-02-01T17:42:49+0000,Manohla,Dargis,2024-02-04 09:49:07.744290
6,Argylle,"['Bryce Dallas Howard', 'Matthew Vaughn']",‘Argylle’ Review: A Cat Cannot Save It,,https://www.nytimes.com/2024/02/01/movies/argylle-review.html,2024-02-01T14:21:58+0000,Alissa,Wilkinson,2024-02-04 09:49:07.744290
7,How to Have Sex,"['Molly Manning Walker', 'Mia McKenna-Bruce']",‘How to Have Sex’ Review: This Paradise Is Nothing but Trouble,,https://www.nytimes.com/2024/02/01/movies/how-to-have-sex-review.html,2024-02-01T12:00:14+0000,Manohla,Dargis,2024-02-04 09:49:07.744290
8,Skin Deep,['Alex Schaad'],‘Skin Deep’ Review: A Different Kind of Therapy,Critic’s Pick,https://www.nytimes.com/2024/02/01/movies/skin-deep-review.html,2024-02-01T10:01:05+0000,Alissa,Wilkinson,2024-02-04 09:49:07.744290
9,We Are the World,"['Lionel Richie', 'Quincy Jones', 'Michael Jackson', 'Stevie Wonder', 'Bao Nguyen']",‘The Greatest Night in Pop’ Review: They Were the World,,https://www.nytimes.com/2024/01/29/movies/the-greatest-night-in-pop-review.html,2024-01-29T22:14:31+0000,Glenn,Kenny,2024-02-04 09:49:07.744290
